rank,player_id,name,clubs,leagues,nationality,primary_position,total_minutes_top5,total_appearances,peak_market_value_eur,peak_value_pct_in_league,obscurity_score
113,296378,Luca Itter,VfL Wolfsburg; SC Freiburg,Bundesliga,Germany,Defender,1992,34,2000000.0,0.2984714400643604,0.7889910241538662
114,111528,Anthony Gonçalves,RC Strasbourg Alsace,Ligue 1,France,Midfield,2813,47,600000.0,0.1046077210460772,0.7887814107947908
115,237499,Aleksandar Sedlar,RCD Mallorca,La Liga,Serbia,Defender,2757,42,900000.0,0.1269571136827774,0.7887501253291539
116,49542,Billy Sharp,Southampton FC; Sheffield United,Premier League,England,Attack,1793,43,4500000.0,0.3321018062397373,0.7879219650971856
117,85208,Matteo Scozzarella,Atalanta BC; Parma Calcio 1913,Serie A,Italy,Midfield,2629,44,1000000.0,0.1667778519012675,0.7872506089330872
118,149540,Zakarya Bergdich,Real Valladolid CF; Genoa CFC,La Liga; Serie A,Morocco,Defender,2270,33,1700000.0,0.2409802586793737,0.7869711109703907
119,22217,Roberto Vitiello,Siena FC; Palermo FC,Serie A,Italy,Defender,2734,36,900000.0,0.1394262841894596,0.7854225168199989
120,39518,Ben Turner,Cardiff City,Premier League,England,Defender,2721,31,2000000.0,0.1461412151067323,0.7847297800435331
121,60604,Eric Tié Bi,Thonon Évian Grand Genève FC,Ligue 1,Cote d'Ivoire,Midfield,2533,39,1000000.0,0.2011207970112079,0.7836450278509852
122,71273,Stefan Scepovic,Getafe CF,La Liga,Serbia,Attack,1810,34,2500000.0,0.3407079646017699,0.7831343897921383
123,43257,Romain Brégerie,FC Ingolstadt 04,Bundesliga,France,Defender,2582,39,1200000.0,0.1850362027353178,0.7824818986323411
124,412095,Ihsan Sacko,OGC Nice; RC Strasbourg Alsace,Ligue 1,France,Attack,1545,41,2000000.0,0.3714196762141967,0.7823134177068551
125,138949,Mohamed Larbi,GFC Ajaccio,Ligue 1,Tunisia,Midfield,2285,30,1250000.0,0.2484433374844333,0.7817860831957679
126,8108,Lluis Sastre,Real Valladolid CF; CD Leganés; SD Huesca,La Liga,Spain,Midfield,2521,48,1500000.0,0.2106875425459496,0.7812841357037694
127,524929,Kévin Zohi,RC Strasbourg Alsace,Ligue 1,Mali,Attack,1567,61,2000000.0,0.3714196762141967,0.7806176812727466
128,49319,Mark Bunn,Norwich City; Aston Villa,Premier League,England,Goalkeeper,2753,33,2000000.0,0.1461412151067323,0.7801270668652385
129,424709,Cheick Timite,Amiens SC,Ligue 1,Cote d'Ivoire,Attack,1569,30,2000000.0,0.3714196762141967,0.7798909370867001
130,25468,Sebastian Freis,SC Freiburg,Bundesliga,Germany,Attack,1952,36,2200000.0,0.3242156074014481,0.779752661415555
131,335245,Marc Navarro,RCD Espanyol Barcelona; Watford FC; CD Leganés,La Liga; Premier League,Spain,Midfield,2199,37,2000000.0,0.2773995915588836,0.7794203592593179
132,52200,Dominik Kaiser,RB Leipzig,Bundesliga,Germany,Midfield,1222,35,3000000.0,0.413113435237329,0.7789083986604053
133,355104,Pepín Machín,Parma Calcio 1913,Serie A,Equatorial Guinea,Midfield,1428,37,2600000.0,0.3922615076717812,0.7772219593424039
134,117509,Chris Philipps,FC Metz,Ligue 1,Luxembourg,Midfield,2373,31,1250000.0,0.2484433374844333,0.7764566258314267
135,4115,Chris Baird,Fulham FC; West Bromwich Albion,Premier League,Northern Ireland,Midfield,2117,38,4000000.0,0.2976190476190476,0.7760935769656699
136,188498,Brayan Perea,Società Sportiva Lazio S.p.A.; ESTAC Troyes,Serie A; Ligue 1,Colombia,Attack,1388,36,2800000.0,0.4006004002668445,0.7754749936650274
137,258519,Hidde ter Avest,Udinese Calcio,Serie A,Netherlands,Defender,2008,39,2000000.0,0.3228819212808539,0.775090047111511
138,364233,Sidy Sarr,Nîmes Olympique,Ligue 1,Senegal,Midfield,1622,31,2000000.0,0.3714196762141967,0.77504597584639
139,344151,Bilal Boutobba,Olympique Marseille; Montpellier HSC,Ligue 1,France,Attack,979,33,2500000.0,0.4377334993773349,0.7748348006989294
140,2334,Marcel Ndjeng,Hertha BSC,Bundesliga,Cameroon,Midfield,2462,33,1500000.0,0.2345132743362832,0.7747007271729437
141,33729,Stefano Celozzi,Eintracht Frankfurt,Bundesliga,Germany,Defender,1268,38,3000000.0,0.413113435237329,0.7745479335441262
142,200174,Roberto Insigne,SSC Napoli,Serie A,Italy,Attack,1608,31,2500000.0,0.3755837224816544,0.7739329449607232
