rank,player_id,name,clubs,leagues,nationality,primary_position,total_minutes_top5,total_appearances,peak_market_value_eur,peak_value_pct_in_league,obscurity_score
255,63265,Igor Lewczuk,FC Girondins Bordeaux,Ligue 1,Poland,Defender,2995,38,1000000.0,0.2011207970112079,0.7187225472308302
256,21769,Salvatore Masiello,Torino FC,Serie A,Italy,Defender,2653,33,1900000.0,0.2981987991994663,0.7181486624157707
257,418658,Charles Abi,OGC Nice; Angers SCO; Dijon FCO; AS Saint-Étienne,Ligue 1,France,Attack,1550,42,3000000.0,0.4993773349937733,0.7178500921930357
258,126542,Mohamed Yattara,ESTAC Troyes; Olympique Lyon; Angers SCO,Ligue 1,Guinea,Attack,2565,63,1750000.0,0.324719800747198,0.7177273089287266
259,35493,Stephan Fürstner,SpVgg Greuther Fürth,Bundesliga,Germany,Midfield,2660,30,2000000.0,0.2984714400643604,0.7175278458592926
260,3276,Shola Ameobi,Newcastle United; Crystal Palace,Premier League,Nigeria,Attack,2001,53,6500000.0,0.4417077175697865,0.7166461412151067
261,21726,Philipp Tschauner,Hannover 96,Bundesliga,Germany,Goalkeeper,2883,33,1500000.0,0.2345132743362832,0.7153499519791452
262,77812,Christoph Zimmermann,Norwich City,Premier League,Germany,Defender,2805,39,3500000.0,0.256568144499179,0.714739183564364
263,174835,Adryan,Cagliari Calcio; FC Nantes,Serie A; Ligue 1,Brazil,Midfield,1582,31,3000000.0,0.4993773349937733,0.7144586193248188
264,73067,Adam Clayton,Middlesbrough FC,Premier League,England,Midfield,2806,34,3500000.0,0.256568144499179,0.714254687440333
265,93905,Muhamed Besic,Everton FC; Sheffield United,Premier League,Bosnia-Herzegovina,Midfield,2131,46,6000000.0,0.4195402298850574,0.714163993584603
266,393804,Sofian Kiyine,Chievo Verona,Serie A,Morocco,Midfield,2108,56,3000000.0,0.428285523682455,0.7117293311820283
267,136181,Havard Nielsen,Eintracht Braunschweig; SC Freiburg,Bundesliga,Norway,Attack,2698,46,2000000.0,0.2984714400643604,0.7112293962468895
268,61653,Conor Hourihane,Aston Villa,Premier League,Ireland,Midfield,1767,31,7500000.0,0.4872742200328407,0.7110625023866803
269,226450,Iver Fossum,Hannover 96,Bundesliga,Norway,Midfield,2483,37,2500000.0,0.3580048270313757,0.7110169663292734
270,16831,Ken Reichel,Eintracht Braunschweig; 1.FC Union Berlin,Bundesliga,Germany,Defender,2945,34,1500000.0,0.2345132743362832,0.7107472388008507
271,3775,George McCartney,West Ham United,Premier League,Northern Ireland,Defender,2719,34,4000000.0,0.2976190476190476,0.7097176079734219
272,5431,Pantxi Sirieix,FC Toulouse,Ligue 1,France,Midfield,2418,58,2000000.0,0.3714196762141967,0.709638999102204
273,60525,Yoann Court,ESTAC Troyes; Stade Brestois 29,Ligue 1,France,Attack,2426,48,2000000.0,0.3714196762141967,0.709154502978173
274,44760,Itay Shechter,Swansea City; FC Nantes,Premier League; Ligue 1,Israel,Attack,1715,42,3000000.0,0.4993773349937733,0.7081601697124156
275,42952,Moritz Hartmann,FC Ingolstadt 04,Bundesliga,Germany,Attack,2961,44,1500000.0,0.2345132743362832,0.7078402620566646
276,124901,Benjamin Leroy,Dijon FCO,Ligue 1,France,Goalkeeper,2889,33,1250000.0,0.2484433374844333,0.7076581762190237
277,42935,Nikolaos Karabelas,Levante UD,La Liga,Greece,Defender,3061,41,1500000.0,0.2106875425459496,0.7076407248510562
278,7763,José María Movilla,Real Zaragoza,La Liga,Spain,Midfield,2252,32,3000000.0,0.40571817562968,0.7072668811774081
279,310662,Timothy Tillman,1.FC Nuremberg,Bundesliga,United States,Midfield,2222,35,3000000.0,0.413113435237329,0.7072029723038161
280,121398,Tommy Smith,Huddersfield Town,Premier League,England,Defender,3050,39,3000000.0,0.2163382594417077,0.7067533508993011
281,242532,Rober Ibáñez,Valencia CF; Granada CF; CD Leganés; Getafe CF; CA Osasuna,La Liga,Spain,Attack,2573,65,2500000.0,0.3407079646017699,0.7065840021952391
282,45464,Sercan Sararer,SpVgg Greuther Fürth; VfB Stuttgart,Bundesliga,Turkey,Midfield,2228,35,3000000.0,0.413113435237329,0.7064762281177697
283,33783,Armand Traoré,Queens Park Rangers,Premier League,Senegal,Defender,2875,42,3500000.0,0.256568144499179,0.7060182533318059
284,58379,Maximilian Beister,Hamburger SV; 1.FSV Mainz 05,Bundesliga,Germany,Attack,2229,45,3000000.0,0.413113435237329,0.7057494839317231
285,172153,Mickaël Alphonse,Dijon FCO,Ligue 1,Guadeloupe,Defender,3297,54,900000.0,0.1690535491905355,0.7056864036993058
286,72935,Raúl Rodríguez,RCD Espanyol Barcelona,La Liga,Spain,Defender,2810,43,2000000.0,0.2773995915588836,0.7033544677864496
287,215652,Rafidine Abdullah,Olympique Marseille; FC Lorient,Ligue 1,Comoros,Midfield,2781,60,1500000.0,0.2889165628891656,0.7029254394856497
288,153678,Kingsley Schindler,1.FC Köln,Bundesliga,Ghana,Attack,2257,60,3000000.0,0.413113435237329,0.7021157630014905
289,192736,Sabin Merino,Athletic Bilbao; CD Leganés,La Liga,Spain,Attack,2304,62,3000000.0,0.40571817562968,0.7012106796270205
290,42513,Gary Hooper,Norwich City,Premier League,England,Attack,2031,34,7000000.0,0.4646962233169129,0.7007914232252644
291,84442,Leonardo Capezzi,FC Crotone; UC Sampdoria; FC Empoli,Serie A,Italy,Midfield,2792,48,1800000.0,0.2865243495663775,0.7007300732788267
292,401836,Bassem Srarfi,OGC Nice,Ligue 1,Tunisia,Attack,1842,56,3000000.0,0.4993773349937733,0.6999237356038885
293,19671,Daniel Pavlovic,Frosinone Calcio; UC Sampdoria; FC Crotone,Serie A,Bosnia-Herzegovina,Defender,3499,42,900000.0,0.1394262841894596,0.6986977106184485
294,29187,Pedro Ríos,Levante UD,La Liga,Spain,Attack,2074,38,3500000.0,0.4632402995234854,0.6981279122537611
295,255322,Josip Posavec,Palermo FC,Serie A,Croatia,Goalkeeper,2700,30,2000000.0,0.3228819212808539,0.6980551633905807
296,165400,Lloyd Palun,OGC Nice,Ligue 1,Gabon,Defender,3199,42,1000000.0,0.2011207970112079,0.6978892138974968
297,143039,Damjan Djokovic,GFC Ajaccio,Ligue 1,Croatia,Midfield,2380,35,2200000.0,0.4037982565379825,0.6975679259945746
298,5680,Toifilou Maoulida,SC Bastia,Ligue 1,France,Attack,1921,37,3000000.0,0.4993773349937733,0.6972590069217179
299,13979,Ashkan Dejagah,Fulham FC; VfL Wolfsburg,Premier League; Bundesliga,Iran,Attack,2565,44,5000000.0,0.3657635467980296,0.6972054359033109
300,111881,Takashi Usami,TSG 1899 Hoffenheim; FC Augsburg; Fortuna Düsseldorf,Bundesliga,Japan,Attack,2575,50,2500000.0,0.3580048270313757,0.6969665787323742
301,51663,Pedro Alcalá,Girona FC,La Liga,Spain,Defender,3466,46,1000000.0,0.1501021102791014,0.6952977820697517
302,159288,Arlind Ajeti,Frosinone Calcio; Torino FC; FC Crotone,Serie A,Albania,Defender,2732,41,2000000.0,0.3228819212808539,0.6941791943983326
303,62144,Antoñito,Real Valladolid CF,La Liga,Spain,Defender,2883,45,2000000.0,0.2773995915588836,0.693906793367845
304,171159,Leo Stulac,Parma Calcio 1913,Serie A,Slovenia,Midfield,2272,49,3000000.0,0.428285523682455,0.6928339823448191
305,327126,Anuar,Real Valladolid CF,La Liga,Morocco,Attack,3203,59,1500000.0,0.2106875425459496,0.692621345006095
306,203778,Iván López,Levante UD,La Liga,Spain,Defender,3222,42,1500000.0,0.2106875425459496,0.692136848882064
307,187392,Thomas Touré,FC Girondins Bordeaux; Angers SCO,Ligue 1,Cote d'Ivoire,Attack,2867,61,1500000.0,0.2889165628891656,0.6912975325089056
308,167444,Luca Paganini,Frosinone Calcio,Serie A,Italy,Attack,2958,41,1700000.0,0.2708472314876584,0.690157779605008
309,3788,Matthew Etherington,Stoke City,Premier League,England,Midfield,2146,42,7000000.0,0.4646962233169129,0.6901325084965823
310,148597,Clément Maury,GFC Ajaccio,Ligue 1,France,Goalkeeper,3060,34,1250000.0,0.2484433374844333,0.6894895715678608
311,33042,Migjen Basha,Torino FC,Serie A,Albania,Midfield,3074,51,1500000.0,0.2448298865910607,0.6891160644564076
312,312017,Ramadan Sobhi,Stoke City; Huddersfield Town,Premier League,Egypt,Attack,2159,45,7000000.0,0.4646962233169129,0.6886790201244892
313,133078,Syam Ben Youssef,SM Caen,Ligue 1,Tunisia,Defender,2767,35,1750000.0,0.324719800747198,0.6886575414868661
314,103890,Luis Advíncula,TSG 1899 Hoffenheim; Rayo Vallecano,Bundesliga; La Liga,Peru,Defender,2466,30,3000000.0,0.40571817562968,0.6886137804022143
315,56889,Francesco Della Rocca,Siena FC; Bologna Football Club 1909; Palermo FC,Serie A,Italy,Midfield,2110,31,3500000.0,0.4743162108072048,0.6882294914956224
316,434207,Aaron Connolly,Brighton & Hove Albion,Premier League,Ireland,Attack,2207,45,7000000.0,0.4646962233169129,0.6852875472562723
317,59054,Lukas Hinterseer,FC Ingolstadt 04,Bundesliga,Austria,Attack,2670,56,2500000.0,0.3580048270313757,0.6850964236936146
318,57598,Klaus Gjasula,SC Paderborn 07,Bundesliga,Albania,Midfield,3660,51,900000.0,0.1311343523732904,0.6837060796273082
319,253316,Lebogang Phiri,EA Guingamp,Ligue 1,South Africa,Midfield,2951,46,1500000.0,0.2889165628891656,0.6820921061523164
320,68815,Felipe Trevizan,Hannover 96,Bundesliga,Brazil,Defender,2500,46,3000000.0,0.413113435237329,0.6820091738542038
321,178540,Chaker Alhadhur,FC Nantes; SM Caen,Ligue 1,Comoros,Defender,3125,40,1250000.0,0.2484433374844333,0.6807686413353027
322,102192,Luis Pedro Cavanda,Società Sportiva Lazio S.p.A.,Serie A,Belgium,Defender,2105,33,3750000.0,0.4929953302201467,0.6801011720992289
323,193142,Mathieu Michel,Angers SCO,Ligue 1,France,Goalkeeper,2667,30,2000000.0,0.3714196762141967,0.6800847355363124
324,136605,Carlos Carbonero,Cesena FC; UC Sampdoria,Serie A,Colombia,Midfield,2436,36,3000000.0,0.428285523682455,0.6797525869959818
325,30332,Daniele Capelli,Atalanta BC; Cesena FC,Serie A,Italy,Defender,2574,31,2700000.0,0.3942628418945963,0.6793220674247948
326,39908,Rudy Gestede,Cardiff City; Aston Villa; Middlesbrough FC,Premier League,Benin,Attack,2232,51,7000000.0,0.4646962233169129,0.6792313457058846
327,13583,Clint Hill,Queens Park Rangers,Premier League,England,Defender,4036,50,1250000.0,0.0927750410509031,0.6789031771489671
328,61591,Zoltán Stieber,SpVgg Greuther Fürth; Hamburger SV,Bundesliga,Hungary,Midfield,2721,43,2500000.0,0.3580048270313757,0.6787979740812113
329,65976,Hal Robson-Kanu,Reading FC; West Bromwich Albion,Premier League,Wales,Attack,3324,94,3000000.0,0.2163382594417077,0.6786525757055027
330,124560,Samuele Longo,RCD Espanyol Barcelona; Rayo Vallecano; Hellas Verona; Cagliari Calcio; Frosinone Calcio; SD Huesca,La Liga; Serie A,Italy,Attack,3023,88,2000000.0,0.2773995915588836,0.6786451654608683
331,58774,José Manuel Casado,Rayo Vallecano; Málaga CF; UD Almería,La Liga,Spain,Defender,2773,39,2500000.0,0.3407079646017699,0.6784832270014407
332,166683,Mamadou Sylla,RCD Espanyol Barcelona,La Liga,Senegal,Attack,2562,70,3000000.0,0.40571817562968,0.6784393617975631
333,36939,Marc Pugh,AFC Bournemouth,Premier League,England,Attack,3648,67,2000000.0,0.1461412151067323,0.6783828808187269
334,61511,Camillo Ciano,Frosinone Calcio,Serie A,Italy,Attack,2461,33,3000000.0,0.428285523682455,0.6782990986238888
335,13412,Grant Holt,Norwich City; Aston Villa,Premier League,England,Attack,2948,44,4000000.0,0.2976190476190476,0.6782253599114064
336,55125,Chris Löwe,Huddersfield Town,Premier League,Germany,Defender,3653,52,2000000.0,0.1461412151067323,0.6774138885706649
337,57389,Luigi Giorgi,Palermo FC; Atalanta BC; Cesena FC,Serie A,Italy,Midfield,3564,54,1000000.0,0.1667778519012675,0.6772699887780484
338,91251,Cuco Martina,Southampton FC; Everton FC,Premier League,Curacao,Defender,3503,45,2500000.0,0.1810344827586207,0.6771668671478215
339,57367,Johann Carrasso,FC Metz; Stade Reims,Ligue 1,France,Goalkeeper,2696,31,2000000.0,0.3714196762141967,0.6757242704200335
340,19641,Emmerson Boyce,Wigan Athletic,Premier League,Barbados,Defender,3145,36,3500000.0,0.256568144499179,0.6750105013938213
341,187624,Fabian Bredlow,1.FC Nuremberg,Bundesliga,Germany,Goalkeeper,3286,37,1500000.0,0.2345132743362832,0.674410029498525
342,275249,Niklas Schmidt,SV Werder Bremen,Bundesliga,Germany,Midfield,2564,56,3000000.0,0.413113435237329,0.6742572358697076
343,65243,Abraham González,RCD Espanyol Barcelona,La Liga,Spain,Midfield,3365,63,1500000.0,0.2106875425459496,0.6742104922929166
344,94305,Uros Cosic,Delfino Pescara 1936; FC Empoli,Serie A,Serbia,Defender,3413,43,1250000.0,0.2041360907271514,0.6740947453340986
345,55519,Christoph Moritz,FC Schalke 04; 1.FSV Mainz 05,Bundesliga,Germany,Midfield,2569,48,3000000.0,0.413113435237329,0.6723192513735836
346,240244,Cristian Dell'Orco,US Sassuolo; FC Empoli; US Lecce,Serie A,Italy,Defender,3606,54,1000000.0,0.1667778519012675,0.6719405314137074
347,70898,Chechu Dorado,Real Betis Balompié; Villarreal CF; Rayo Vallecano,La Liga,Spain,Defender,2585,37,3000000.0,0.40571817562968,0.671171919937098
348,10255,Alexander Farnerud,Torino FC,Serie A,Sweden,Midfield,2530,50,3000000.0,0.428285523682455,0.6710316567634237
349,71394,Carlos Carmona,Sporting Gijón,La Liga,Spain,Attack,3089,45,2000000.0,0.2773995915588836,0.6706509794143567
350,297784,Yan Eteki,Granada CF,La Liga,Cameroon,Midfield,3091,63,2000000.0,0.2773995915588836,0.6699242352283101
351,148004,Alin Toșca,Real Betis Balompié; Benevento Calcio,La Liga; Serie A,Romania,Defender,3097,36,2000000.0,0.2773995915588836,0.6694397391042791
352,67869,Marco Terrazzino,SC Freiburg; TSG 1899 Hoffenheim,Bundesliga,Germany,Attack,2581,54,3000000.0,0.413113435237329,0.6689277785053664
353,263627,Carlos Vigaray,Getafe CF; Deportivo Alavés,La Liga,Spain,Defender,3765,54,1000000.0,0.1501021102791014,0.6676815029999842
354,177452,Abdón Prats,RCD Mallorca,La Liga,Spain,Attack,3114,142,2000000.0,0.2773995915588836,0.6675017546081551
355,41866,Constant Djakpa,Eintracht Frankfurt,Bundesliga,Cote d'Ivoire,Defender,3058,45,2000000.0,0.2984714400643604,0.6652022644639438
356,126659,Loris Néry,Valenciennes FC,Ligue 1,France,Defender,2946,40,1750000.0,0.324719800747198,0.6651594794713622
357,10885,Karim Guédé,SC Freiburg,Bundesliga,Slovakia,Attack,3531,66,1250000.0,0.1995172968624296,0.6647762352897155
358,548716,Yoël Armougom,SM Caen,Ligue 1,France,Defender,2215,38,3000000.0,0.4993773349937733,0.664555518549625
359,160561,Fabio Lucioni,Benevento Calcio; US Lecce,Serie A,Italy,Defender,3853,44,900000.0,0.1394262841894596,0.6645407338742625
360,7739,Patxi Puñal,CA Osasuna,La Liga,Spain,Midfield,2971,48,2400000.0,0.3168822328114363,0.6642333021989331
361,60599,Samuel Souprayen,Hellas Verona,Serie A,France,Defender,3163,42,1750000.0,0.2755170113408939,0.6640825796008709
362,84846,Gianluca Sansone,Torino FC; UC Sampdoria,Serie A,Italy,Attack,2348,56,3500000.0,0.4743162108072048,0.664004685294072
363,55291,Scott Arfield,Burnley FC,Premier League,Canada,Midfield,3442,49,3000000.0,0.2163382594417077,0.6636331958605415
364,59343,Manu Herrera,Elche CF,La Liga,Spain,Goalkeeper,3167,37,2000000.0,0.2773995915588836,0.662656793367845
365,84993,Daniel Heuer Fernandes,SV Darmstadt 98,Bundesliga,Portugal,Goalkeeper,3545,40,1250000.0,0.1995172968624296,0.6625960027315758
366,28817,Gabriele Perico,Cagliari Calcio; Cesena FC,Serie A,Italy,Defender,3879,57,900000.0,0.1394262841894596,0.6623605013161229
367,253842,Adama Niane,FC Nantes; ESTAC Troyes,Ligue 1,Mali,Attack,2232,36,3000000.0,0.4993773349937733,0.6618907898674544
368,132529,Jin-su Kim,TSG 1899 Hoffenheim,Bundesliga,"Korea, South",Defender,2816,34,2500000.0,0.3580048270313757,0.6615983616781106
369,60607,Pierrick Valdivia,RC Lens; Nîmes Olympique,Ligue 1,France,Midfield,2970,39,1750000.0,0.324719800747198,0.6612835104791142
370,71579,Iñigo Pérez,Athletic Bilbao; CA Osasuna,La Liga,Spain,Midfield,3180,60,2000000.0,0.2773995915588836,0.661203304995752
371,568702,Papa Ndiaga Yade,FC Metz,Ligue 1,Mauritania,Attack,2246,62,3000000.0,0.4993773349937733,0.6611640456814079
372,38383,Danny Williams,TSG 1899 Hoffenheim; Huddersfield Town,Bundesliga; Premier League,United States,Midfield,2755,46,2800000.0,0.3837489943684634,0.6608386811103419
373,86793,Gabriele Angella,Udinese Calcio,Serie A,Italy,Defender,2977,40,2000000.0,0.3228819212808539,0.6592954734681002
374,51736,Marco Mancosu,US Lecce,Serie A,Italy,Midfield,2598,39,3000000.0,0.428285523682455,0.6589192536626485
375,254934,Jamilu Collins,SC Paderborn 07,Bundesliga,Nigeria,Defender,2669,30,3000000.0,0.413113435237329,0.6582688637766843
376,93701,Christopher Glombard,Stade Reims,Ligue 1,Martinique,Defender,2983,45,1750000.0,0.324719800747198,0.6578920376108972
377,51321,Darren Randolph,West Ham United,Premier League,Ireland,Goalkeeper,2970,33,4500000.0,0.3321018062397373,0.6575925077328446
378,476237,Steven Alzate,Brighton & Hove Albion,Premier League,Colombia,Midfield,2485,43,7000000.0,0.4646962233169129,0.6571867720624738
379,197126,Kenan Kodro,CA Osasuna; 1.FSV Mainz 05; Athletic Bilbao,La Liga; Bundesliga,Bosnia-Herzegovina,Attack,2700,76,3000000.0,0.40571817562968,0.6566370362161678
380,42413,Darron Gibson,Everton FC; Sunderland AFC,Premier League,Ireland,Midfield,3125,52,4000000.0,0.2976190476190476,0.6561807862679956
381,11268,Oliver Fink,Fortuna Düsseldorf,Bundesliga,Germany,Midfield,3594,58,1250000.0,0.1995172968624296,0.6560553050571574
382,49521,Francesco Bolzoni,Siena FC; Palermo FC,Serie A,Italy,Midfield,2630,48,3000000.0,0.428285523682455,0.6560122769184624
383,374077,Christian Rivera,SD Eibar; SD Huesca; CD Leganés,La Liga,Spain,Midfield,2956,51,2500000.0,0.3407079646017699,0.6557119091719833
384,225015,Carlos Akapo,SD Huesca,La Liga,Equatorial Guinea,Defender,3737,51,1200000.0,0.1766507828454731,0.6553761589648603
385,56802,Vincent Muratori,AS Nancy-Lorraine,Ligue 1,France,Defender,2592,32,2500000.0,0.4377334993773349,0.6546797619392395
386,99523,Nícolas,Hellas Verona,Serie A,Brazil,Goalkeeper,4050,45,900000.0,0.1394262841894596,0.6546085633316268
387,93142,Dani Torres,Deportivo Alavés,La Liga,Colombia,Midfield,2726,41,3000000.0,0.40571817562968,0.6537300594719817
388,160825,Antonio Balzano,Delfino Pescara 1936; Cagliari Calcio,Serie A,Italy,Defender,4074,51,900000.0,0.1394262841894596,0.6531550749595338
389,218087,Ben Osborn,Sheffield United,Premier League,England,Midfield,3559,61,3000000.0,0.2163382594417077,0.6529742811318593
390,61561,Barry Bannan,Aston Villa; Crystal Palace,Premier League,Scotland,Midfield,2769,46,5500000.0,0.3949096880131363,0.6528358536678505
391,230066,Adama Mbengue,SM Caen,Ligue 1,Senegal,Defender,2334,30,3000000.0,0.4993773349937733,0.6524431154488497
392,22860,Jesper Hansen,Thonon Évian Grand Genève FC; SC Bastia,Ligue 1,Denmark,Goalkeeper,3641,41,1000000.0,0.2011207970112079,0.6518620821145511
393,31208,Éloge Enza-Yamissi,ESTAC Troyes; Valenciennes FC,Ligue 1,Central African Republic,Midfield,3089,47,1700000.0,0.3169364881693648,0.650882531109116
394,164759,Paweł Wszołek,UC Sampdoria; Hellas Verona,Serie A,Poland,Midfield,2831,53,2500000.0,0.3755837224816544,0.6508709294568472
395,111114,Kevin Long,Burnley FC,Premier League,Ireland,Defender,3829,47,2500000.0,0.1810344827586207,0.6473703555199144
396,28705,Dusan Veskovac,FC Toulouse; ESTAC Troyes,Ligue 1,Serbia,Defender,3454,41,1250000.0,0.2484433374844333,0.6470961607151478
397,89618,Xabi Irureta,SD Eibar,La Liga,Spain,Goalkeeper,3330,37,2000000.0,0.2773995915588836,0.6469106693368373
398,59558,Emilio Nsue,RCD Mallorca; Middlesbrough FC,La Liga; Premier League,Equatorial Guinea,Defender,2570,37,3500000.0,0.4632402995234854,0.6462868269824433
399,60588,Abdoul Camara,FC Sochaux-Montbéliard; Angers SCO; EA Guingamp,Ligue 1,Guinea,Attack,3469,57,1250000.0,0.2484433374844333,0.6456426723430547
400,21701,Simone Vergassola,Siena FC,Serie A,Italy,Midfield,2553,30,3500000.0,0.4743162108072048,0.6448670883948473
401,242078,Ales Mateju,Brescia Calcio,Serie A,Czech Republic,Defender,3278,40,1900000.0,0.2981987991994663,0.6435362593149955
402,31599,Norman Theuerkauf,Eintracht Braunschweig,Bundesliga,Germany,Midfield,3568,55,1500000.0,0.2345132743362832,0.6429177814365096
403,27292,Daniel Larsson,Real Valladolid CF; Granada CF,La Liga,Sweden,Attack,3067,47,2500000.0,0.3407079646017699,0.641661521575084
404,35416,David McGoldrick,Sheffield United,Premier League,Ireland,Attack,4226,63,2000000.0,0.1461412151067323,0.6386541986481842
405,57091,Hanno Behrens,1.FC Nuremberg,Bundesliga,Germany,Midfield,2643,30,3500000.0,0.4601769911504424,0.6386130548123756
406,71204,Javi Moyano,Real Valladolid CF,La Liga,Spain,Defender,4440,55,800000.0,0.1102791014295439,0.6376899066495691
407,89450,Alexandre Coeff,Granada CF; GFC Ajaccio,La Liga; Ligue 1,France,Defender,3356,44,1500000.0,0.2889165628891656,0.6375184627414636
408,77708,Geoffroy Serey Dié,VfB Stuttgart,Bundesliga,Cote d'Ivoire,Midfield,2804,36,3000000.0,0.413113435237329,0.63695103431932
409,18871,Jean Beausejour,Wigan Athletic,Premier League,Chile,Defender,2784,34,6000000.0,0.4195402298850574,0.6368868618016573
410,67322,Anthony Pilkington,Norwich City,Premier League,Ireland,Attack,2988,45,5000000.0,0.3657635467980296,0.6368856684614503
411,9508,Shaun Maloney,Wigan Athletic; Hull City,Premier League,Scotland,Midfield,3224,45,4250000.0,0.3197865353037767,0.6368606083171039
412,238716,Théo Pellenard,FC Girondins Bordeaux; Angers SCO,Ligue 1,France,Defender,2974,43,2000000.0,0.3714196762141967,0.6364800843735219
413,24459,Eden Ben Basat,FC Toulouse; Stade Brestois 29,Ligue 1,Israel,Attack,2749,52,2500000.0,0.4377334993773349,0.6352999169779991
414,110622,Jonathan Mensah,Thonon Évian Grand Genève FC,Ligue 1,Ghana,Defender,3224,43,1750000.0,0.324719800747198,0.6343939755953933
415,31910,Felix Kroos,SV Werder Bremen; 1.FC Union Berlin,Bundesliga,Germany,Midfield,3351,74,2000000.0,0.2984714400643604,0.6337100164019283
416,275361,Karim Azamoum,ESTAC Troyes,Ligue 1,France,Defender,3401,51,1500000.0,0.2889165628891656,0.6334002456872001
417,226009,Cléber Reis,Hamburger SV,Bundesliga,Brazil,Defender,2822,40,3000000.0,0.413113435237329,0.6330750653270719
418,73180,Martín Mantovani,CD Leganés; SD Huesca,La Liga,Argentina,Defender,4507,55,800000.0,0.1102791014295439,0.6328449454092591
419,7028,Filip Daems,Borussia Mönchengladbach,Bundesliga,Belgium,Defender,2675,34,3500000.0,0.4601769911504424,0.6327991013240035
420,35934,Slobodan Rajković,Hamburger SV; SV Darmstadt 98; Palermo FC,Bundesliga; Serie A,Serbia,Defender,3079,45,2500000.0,0.3580048270313757,0.6320440981122191
421,12704,Steven Whittaker,Norwich City,Premier League,Scotland,Defender,3129,41,4750000.0,0.3448275862068966,0.6313652766639936
422,38978,Christian Brüls,OGC Nice; Stade Rennais FC,Ligue 1,,Midfield,2770,43,2500000.0,0.4377334993773349,0.6309394518617202
423,560725,Abdoul Kader Bamba,FC Nantes,Ligue 1,France,Attack,3039,83,2000000.0,0.3714196762141967,0.6306661308851498
424,186664,Alexis Rolín,Catania FC,Serie A,Uruguay,Defender,2649,36,3500000.0,0.4743162108072048,0.6305744527359325
425,412092,Gaëtan Paquiez,Nîmes Olympique,Ligue 1,France,Defender,3904,57,1000000.0,0.2011207970112079,0.6305442526571867
426,63821,Aron Gunnarsson,Cardiff City,Premier League,Iceland,Midfield,3815,51,3000000.0,0.2163382594417077,0.630202963302402
427,51040,Alexander Kacaniklic,Fulham FC; FC Nantes,Premier League; Ligue 1,Sweden,Attack,3571,69,3500000.0,0.256568144499179,0.6301946099209531
428,39037,Rob Elliot,Newcastle United,Premier League,Ireland,Goalkeeper,4569,52,1500000.0,0.1087848932676519,0.629716080497957
429,98274,Jonathan Rivierez,FC Metz,Ligue 1,Martinique,Defender,3945,50,1000000.0,0.2011207970112079,0.6295752604091247
430,67866,Brayan Angulo,Granada CF,La Liga,Colombia,Defender,3509,49,2000000.0,0.2773995915588836,0.6282575685616435
431,295414,Adrián Marín,Villarreal CF; CD Leganés; Deportivo Alavés,La Liga,Spain,Defender,3516,59,2000000.0,0.2773995915588836,0.6277730724376125
432,6278,Yoann Poulard,AC Ajaccio,Ligue 1,France,Defender,3231,36,1800000.0,0.3365504358655043,0.6277519138501936
433,47647,Gorka Elustondo,Real Sociedad; Athletic Bilbao; Rayo Vallecano,La Liga,Spain,Midfield,3518,65,2000000.0,0.2773995915588836,0.6268040801895505
434,62013,Anders Konradsen,Stade Rennais FC,Ligue 1,Norway,Midfield,3062,49,2000000.0,0.3714196762141967,0.6267901618929017
435,119369,Federico Dionisi,US Livorno 1915; Frosinone Calcio,Serie A,Italy,Attack,2674,42,3500000.0,0.4743162108072048,0.6262139876196534
436,57510,Aldo Angoula,Thonon Évian Grand Genève FC,Ligue 1,France,Defender,3988,50,1000000.0,0.2011207970112079,0.6261837875409078
437,9218,Matthew Taylor,West Ham United,Premier League,England,Midfield,2784,48,6500000.0,0.4417077175697865,0.6258031179592928
438,44687,Johan Cavalli,AC Ajaccio,Ligue 1,France,Midfield,3660,51,1250000.0,0.2484433374844333,0.6250515870717368
439,87282,Aleksandar Tonev,Aston Villa; Frosinone Calcio; FC Crotone,Premier League; Serie A,Bulgaria,Attack,2828,60,3000000.0,0.428285523682455,0.6250045249804779
440,14974,Bo Svensson,1.FSV Mainz 05,Bundesliga,Denmark,Defender,2909,37,3000000.0,0.413113435237329,0.6238696389704828
441,227240,Jules Iloki,FC Nantes,Ligue 1,France,Midfield,3676,72,1250000.0,0.2484433374844333,0.6238403467616593
442,192638,Nicolas Haas,Atalanta BC,Serie A,Switzerland,Midfield,2697,60,3500000.0,0.4743162108072048,0.6237915069994984
443,58396,Christian Groß,SV Werder Bremen,Bundesliga,Germany,Midfield,5037,83,500000.0,0.0587288817377312,0.6230095901388863
444,122835,Dorian Lévêque,EA Guingamp,Ligue 1,France,Defender,4068,52,1000000.0,0.2011207970112079,0.6227923146726906
445,77920,Immanuel Höhn,SC Freiburg; SV Darmstadt 98,Bundesliga,Germany,Defender,3622,46,1750000.0,0.2634754625905068,0.6226227338210257
446,111433,Frédéric Veseli,FC Empoli,Serie A,Albania,Defender,4312,57,1000000.0,0.1667778519012675,0.6205839422664206
447,92813,Víctor Pérez,Real Valladolid CF; Levante UD,La Liga,Spain,Midfield,3571,49,2000000.0,0.2773995915588836,0.6197788863911008
448,351755,Darnell Furlong,Queens Park Rangers,Premier League,England,Defender,3155,38,5000000.0,0.3657635467980296,0.619443807996334
